| Age Group | Cases | Percentage (%) |
|-----------|------:|---------------:|
| <1        | 114   | 2.38           |
| 1–4       | 236   | 4.92           |
| 5–9       | 473   | 9.86           |
| 10–14     | 494   | 10.29          |
| 15–19     | 471   | 9.81           |
| 20–39     | 1580  | 32.92          |
| 40–59     | 975   | 20.32          |
| 60–64     | 145   | 3.02           |
| 65–69     | 122   | 2.54           |
| 70–79     | 145   | 3.02           |
| 80+       | 44    | 0.92           |
